Model,Dataset,Recall,Partition
D-SCRIPT,du,0.486,both->0
D-SCRIPT,du,0.0155,both->1
D-SCRIPT,du,0.0019,0->1
D-SCRIPT,guo,0.0451,both->0
D-SCRIPT,guo,0.0027,both->1
D-SCRIPT,guo,0.0054,0->1
D-SCRIPT,huang,0,both->0
D-SCRIPT,huang,0.0084,both->1
D-SCRIPT,huang,0,0->1
D-SCRIPT,richoux,0,both->0
D-SCRIPT,richoux,0.0518,both->1
D-SCRIPT,richoux,0.2052,0->1
D-SCRIPT,pan,0.426,both->0
D-SCRIPT,pan,0.0051,both->1
D-SCRIPT,pan,0.0192,0->1
D-SCRIPT,dscript,0.2243,both->0
D-SCRIPT,dscript,0.0368,both->1
D-SCRIPT,dscript,0.0559,0->1
Topsy_Turvy,du,0.1378,both->0
Topsy_Turvy,du,0.1478,both->1
Topsy_Turvy,du,0.0399,0->1
Topsy_Turvy,guo,0.2999,both->0
Topsy_Turvy,guo,0.1301,both->1
Topsy_Turvy,guo,0.1504,0->1
Topsy_Turvy,huang,0,both->0
Topsy_Turvy,huang,0.0134,both->1
Topsy_Turvy,huang,0.0655,0->1
Topsy_Turvy,richoux,0.1596,both->0
Topsy_Turvy,richoux,0.5661,both->1
Topsy_Turvy,richoux,0.0689,0->1
Topsy_Turvy,pan,0.2843,both->0
Topsy_Turvy,pan,0.7348,both->1
Topsy_Turvy,pan,0.1831,0->1
Topsy_Turvy,dscript,0.0261,both->0
Topsy_Turvy,dscript,0.1936,both->1
Topsy_Turvy,dscript,0.0133,0->1
