Model,Dataset,Accuracy,Partition
deepPPI_LSTM,du,0.5015,0->1
deepPPI_LSTM,du,0.5049,both->0
deepPPI_LSTM,du,0.5015,both->1
deepPPI_LSTM,guo,0.5054,0->1
deepPPI_LSTM,guo,0.5034,both->0
deepPPI_LSTM,guo,0.5054,both->1
deepPPI_LSTM,huang,0.4849,0->1
deepPPI_LSTM,huang,0.4758,both->0
deepPPI_LSTM,huang,0.4849,both->1
deepPPI_LSTM,pan,0.4726,0->1
deepPPI_LSTM,pan,0.4755,both->0
deepPPI_LSTM,pan,0.4726,both->1
deepPPI_LSTM,richoux,0.4994,0->1
deepPPI_LSTM,richoux,0.5004,both->0
deepPPI_LSTM,richoux,0.5,both->1
PIPR,dscript,0.5,0->1
PIPR,dscript,0.52285,both->0
PIPR,dscript,0.6062,both->1
PIPR,du,0.5211,0->1
PIPR,du,0.7643,both->0
PIPR,du,0.7794,both->1
PIPR,guo,0.5494,0->1
PIPR,guo,0.5978,both->0
PIPR,guo,0.6887,both->1
PIPR,huang,0.5147,0->1
PIPR,huang,0.522,both->0
PIPR,huang,0.5,both->1
PIPR,pan,0.5162,0->1
PIPR,pan,0.9098,both->0
PIPR,pan,0.8101,both->1
PIPR,richoux,0.5343,0->1
PIPR,richoux,0.7656,both->0
PIPR,richoux,0.8061,both->1
SPRINT,du,0.6996,both->0
SPRINT,du,0.7194,both->1
SPRINT,du,0.5384,0->1
SPRINT,guo,0.6836,both->0
SPRINT,guo,0.6792,both->1
SPRINT,guo,0.5186,0->1
SPRINT,huang,0.6878,both->0
SPRINT,huang,0.6223,both->1
SPRINT,huang,0.4813,0->1
SPRINT,richoux,0.789,both->0
SPRINT,richoux,0.7911,both->1
SPRINT,richoux,0.5963,0->1
SPRINT,pan,0.7627,both->0
SPRINT,pan,0.7152,both->1
SPRINT,pan,0.4811,0->1
SPRINT,dscript,0.3713,both->0
SPRINT,dscript,0.4904,both->1
SPRINT,dscript,0.1673,0->1
D-SCRIPT,du,0.5157,0->1
D-SCRIPT,guo,0.5,0->1
D-SCRIPT,huang,0.5042,0->1
D-SCRIPT,richoux,0.5532,0->1
D-SCRIPT,pan,0.6422,0->1
D-SCRIPT,dscript,0.569,0->1
D-SCRIPT,du,0.5002,both->0
D-SCRIPT,guo,0.5003,both->0
D-SCRIPT,huang,0.8095,both->0
D-SCRIPT,richoux,0.5994,both->0
D-SCRIPT,pan,0.7821,both->0
D-SCRIPT,dscript,0.5977,both->0
D-SCRIPT,du,0.5101,both->1
D-SCRIPT,guo,0.5325,both->1
D-SCRIPT,huang,0.5471,both->1
D-SCRIPT,richoux,0.6245,both->1
D-SCRIPT,pan,0.7631,both->1
D-SCRIPT,dscript,0.6976,both->1
Topsy_Turvy,du,0.6009,0->1
Topsy_Turvy,guo,0.5,0->1
Topsy_Turvy,huang,0.5,0->1
Topsy_Turvy,richoux,0.5274,0->1
Topsy_Turvy,pan,0.602,0->1
Topsy_Turvy,dscript,0.56565,0->1
Topsy_Turvy,du,0.6665,both->0
Topsy_Turvy,guo,0.4479,both->0
Topsy_Turvy,huang,0.5,both->0
Topsy_Turvy,richoux,0.7108,both->0
Topsy_Turvy,pan,0.5027,both->0
Topsy_Turvy,dscript,0.5036,both->0
Topsy_Turvy,du,0.7154,both->1
Topsy_Turvy,guo,0.4682,both->1
Topsy_Turvy,huang,0.5,both->1
Topsy_Turvy,richoux,0.5009,both->1
Topsy_Turvy,pan,0.7803,both->1
Topsy_Turvy,dscript,0.51495,both->1
