Model	Dataset	Metric	Value	Split
topsyturvy	richoux	AUPR	0.7171694100613869	both->1
topsyturvy	richoux	TP	31	both->1
topsyturvy	richoux	FP	22	both->1
topsyturvy	richoux	TN	4958	both->1
topsyturvy	richoux	FN	4949	both->1
topsyturvy	richoux	Accuracy	0.5274	0->1
topsyturvy	richoux	Precision	0.791	0->1
topsyturvy	richoux	Sensitivity	0.0745	0->1
topsyturvy	richoux	Recall	0.0745	0->1
topsyturvy	richoux	Specificity	0.9803	0->1
topsyturvy	richoux	MCC	0.1294	0->1
topsyturvy	richoux	F1	0.1362	0->1
topsyturvy	richoux	AUC	0.4867321898033903	0->1
topsyturvy	richoux	AUPR	0.5516908693771393	0->1
topsyturvy	richoux	TP	371	0->1
topsyturvy	richoux	FP	98	0->1
topsyturvy	richoux	TN	4882	0->1
topsyturvy	richoux	FN	4609	0->1
topsyturvy	pan	Accuracy	0.5027	both->0
topsyturvy	pan	Precision	0.9375	both->0
topsyturvy	pan	Sensitivity	0.0057	both->0
topsyturvy	pan	Recall	0.0057	both->0
topsyturvy	pan	Specificity	0.9996	both->0
topsyturvy	pan	MCC	0.0483	both->0
topsyturvy	pan	F1	0.0113	both->0
topsyturvy	pan	AUC	0.8292529946098312	both->0
topsyturvy	pan	AUPR	0.8453629953609647	both->0
topsyturvy	pan	TP	60	both->0
topsyturvy	pan	FP	4	both->0
topsyturvy	pan	TN	10547	both->0
topsyturvy	pan	FN	10491	both->0
topsyturvy	pan	Accuracy	0.7803	both->1
topsyturvy	pan	Precision	0.7997	both->1
topsyturvy	pan	Sensitivity	0.748	both->1
topsyturvy	pan	Recall	0.748	both->1
topsyturvy	pan	Specificity	0.8126	both->1
topsyturvy	pan	MCC	0.5618	both->1
topsyturvy	pan	F1	0.773	both->1
topsyturvy	pan	AUC	0.8434198231583345	both->1
topsyturvy	pan	AUPR	0.7507441125898685	both->1
topsyturvy	pan	TP	2651	both->1
topsyturvy	pan	FP	664	both->1
topsyturvy	pan	TN	2880	both->1
topsyturvy	pan	FN	893	both->1
topsyturvy	pan	Accuracy	0.602	0->1
topsyturvy	pan	Precision	0.6372	0->1
topsyturvy	pan	Sensitivity	0.4738	0->1
topsyturvy	pan	Recall	0.4738	0->1
topsyturvy	pan	Specificity	0.7302	0->1
topsyturvy	pan	MCC	0.2111	0->1
topsyturvy	pan	F1	0.5435	0->1
topsyturvy	pan	AUC	0.6580483371889794	0->1
topsyturvy	pan	AUPR	0.6322249992172685	0->1
topsyturvy	pan	TP	1679	0->1
topsyturvy	pan	FP	956	0->1
topsyturvy	pan	TN	2588	0->1
topsyturvy	pan	FN	1865	0->1
topsyturvy	dscript	Accuracy	0.9094	both->0
topsyturvy	dscript	Precision	0.6358	both->0
topsyturvy	dscript	Sensitivity	0.0076	both->0
topsyturvy	dscript	Recall	0.0076	both->0
topsyturvy	dscript	Specificity	0.9996	both->0
topsyturvy	dscript	MCC	0.0625	both->0
topsyturvy	dscript	F1	0.015	both->0
topsyturvy	dscript	AUC	0.7965235096229552	both->0
topsyturvy	dscript	AUPR	0.3427243737355679	both->0
topsyturvy	dscript	TP	103	both->0
topsyturvy	dscript	FP	59	both->0
topsyturvy	dscript	TN	135591	both->0
topsyturvy	dscript	FN	13462	both->0
topsyturvy	dscript	Accuracy	0.9012	both->1
topsyturvy	dscript	Precision	0.2488	both->1
topsyturvy	dscript	Sensitivity	0.0428	both->1
topsyturvy	dscript	Recall	0.0428	both->1
topsyturvy	dscript	Specificity	0.9871	both->1
topsyturvy	dscript	MCC	0.0692	both->1
topsyturvy	dscript	F1	0.073	both->1
topsyturvy	dscript	AUC	0.8268924341829175	both->1
topsyturvy	dscript	AUPR	0.307635754837222	both->1
topsyturvy	dscript	TP	362	both->1
topsyturvy	dscript	FP	1093	both->1
topsyturvy	dscript	TN	83577	both->1
topsyturvy	dscript	FN	8105	both->1
topsyturvy	dscript	Accuracy	0.9103	0->1
topsyturvy	dscript	Precision	0.5244	0->1
topsyturvy	dscript	Sensitivity	0.1444	0->1
topsyturvy	dscript	Recall	0.1444	0->1
topsyturvy	dscript	Specificity	0.9869	0->1
topsyturvy	dscript	MCC	0.2417	0->1
topsyturvy	dscript	F1	0.2265	0->1
topsyturvy	dscript	AUC	0.7537811725969542	0->1
topsyturvy	dscript	AUPR	0.2741472364487787	0->1
topsyturvy	dscript	TP	1223	0->1
topsyturvy	dscript	FP	1109	0->1
topsyturvy	dscript	TN	83561	0->1
topsyturvy	dscript	FN	7244	0->1
