Model	Dataset	Metric	Value	Split
topsyturvy	pan	TP	2604	both->1
topsyturvy	pan	FP	746	both->1
topsyturvy	pan	TN	2798	both->1
topsyturvy	pan	FN	940	both->1
topsyturvy	pan	Accuracy	0.5343	0->1
topsyturvy	pan	Precision	0.6152	0->1
topsyturvy	pan	Sensitivity	0.1831	0->1
topsyturvy	pan	Recall	0.1831	0->1
topsyturvy	pan	Specificity	0.8854	0->1
topsyturvy	pan	MCC	0.0963	0->1
topsyturvy	pan	F1	0.2822	0->1
topsyturvy	pan	AUC	0.5342832957110609	0->1
topsyturvy	pan	AUPR	0.5210899136649086	0->1
topsyturvy	pan	TP	649	0->1
topsyturvy	pan	FP	406	0->1
topsyturvy	pan	TN	3138	0->1
topsyturvy	pan	FN	2895	0->1
topsyturvy	dscript	Accuracy	0.9107	both->0
topsyturvy	dscript	Precision	0.7468	both->0
topsyturvy	dscript	Sensitivity	0.0261	both->0
topsyturvy	dscript	Recall	0.0261	both->0
topsyturvy	dscript	Specificity	0.9991	both->0
topsyturvy	dscript	MCC	0.1288	both->0
topsyturvy	dscript	F1	0.0504	both->0
topsyturvy	dscript	AUC	0.5126059712495392	both->0
topsyturvy	dscript	AUPR	0.10802652022377021	both->0
topsyturvy	dscript	TP	354	both->0
topsyturvy	dscript	FP	120	both->0
topsyturvy	dscript	TN	135530	both->0
topsyturvy	dscript	FN	13211	both->0
topsyturvy	dscript	Accuracy	0.9068	both->1
topsyturvy	dscript	Precision	0.4692	both->1
topsyturvy	dscript	Sensitivity	0.1936	both->1
topsyturvy	dscript	Recall	0.1936	both->1
topsyturvy	dscript	Specificity	0.9781	both->1
topsyturvy	dscript	MCC	0.2598	both->1
topsyturvy	dscript	F1	0.2741	both->1
topsyturvy	dscript	AUC	0.585839140191331	both->1
topsyturvy	dscript	AUPR	0.1641414521373092	both->1
topsyturvy	dscript	TP	1639	both->1
topsyturvy	dscript	FP	1854	both->1
topsyturvy	dscript	TN	82816	both->1
topsyturvy	dscript	FN	6828	both->1
topsyturvy	dscript	Accuracy	0.9094	0->1
topsyturvy	dscript	Precision	0.5736	0->1
topsyturvy	dscript	Sensitivity	0.0133	0->1
topsyturvy	dscript	Recall	0.0133	0->1
topsyturvy	dscript	Specificity	0.999	0->1
topsyturvy	dscript	MCC	0.0773	0->1
topsyturvy	dscript	F1	0.0261	0->1
topsyturvy	dscript	AUC	0.5061769221684186	0->1
topsyturvy	dscript	AUPR	0.09735110479955052	0->1
topsyturvy	dscript	TP	113	0->1
topsyturvy	dscript	FP	84	0->1
topsyturvy	dscript	TN	84586	0->1
topsyturvy	dscript	FN	8354	0->1
