Model	Dataset	Seed	Metric	Value	Split
dscript	huang	42446	TN	1766	rewired
dscript	huang	42446	FN	1272	rewired
dscript	huang	50495	Accuracy	0.6027	rewired
dscript	huang	50495	Precision	0.9622	rewired
dscript	huang	50495	Sensitivity	0.2139	rewired
dscript	huang	50495	Recall	0.2139	rewired
dscript	huang	50495	Specificity	0.9916	rewired
dscript	huang	50495	MCC	0.3269	rewired
dscript	huang	50495	F1	0.35	rewired
dscript	huang	50495	AUC	0.7412334536088026	rewired
dscript	huang	50495	AUPR	0.7826283053651766	rewired
dscript	huang	50495	TP	407	rewired
dscript	huang	50495	FP	16	rewired
dscript	huang	50495	TN	1887	rewired
dscript	huang	50495	FN	1496	rewired
dscript	huang	60688	Accuracy	0.5214	rewired
dscript	huang	60688	Precision	0.6719	rewired
dscript	huang	60688	Sensitivity	0.0838	rewired
dscript	huang	60688	Recall	0.0838	rewired
dscript	huang	60688	Specificity	0.9591	rewired
dscript	huang	60688	MCC	0.0887	rewired
dscript	huang	60688	F1	0.1491	rewired
dscript	huang	60688	AUC	0.656225807141829	rewired
dscript	huang	60688	AUPR	0.6130297968065818	rewired
dscript	huang	60688	TP	170	rewired
dscript	huang	60688	FP	83	rewired
dscript	huang	60688	TN	1945	rewired
dscript	huang	60688	FN	1858	rewired
dscript	huang	75212	Accuracy	0.4876	rewired
dscript	huang	75212	Precision	0.3898	rewired
dscript	huang	75212	Sensitivity	0.0438	rewired
dscript	huang	75212	Recall	0.0438	rewired
dscript	huang	75212	Specificity	0.9314	rewired
dscript	huang	75212	MCC	-0.0538	rewired
dscript	huang	75212	F1	0.0788	rewired
dscript	huang	75212	AUC	0.6420230158730158	rewired
dscript	huang	75212	AUPR	0.5623883615630978	rewired
dscript	huang	75212	TP	92	rewired
dscript	huang	75212	FP	144	rewired
dscript	huang	75212	TN	1956	rewired
dscript	huang	75212	FN	2008	rewired
dscript	huang	81645	Accuracy	0.5772	rewired
dscript	huang	81645	Precision	0.823	rewired
dscript	huang	81645	Sensitivity	0.1967	rewired
dscript	huang	81645	Recall	0.1967	rewired
dscript	huang	81645	Specificity	0.9577	rewired
dscript	huang	81645	MCC	0.238	rewired
dscript	huang	81645	F1	0.3176	rewired
dscript	huang	81645	AUC	0.636444456462953	rewired
dscript	huang	81645	AUPR	0.6580362023488335	rewired
dscript	huang	81645	TP	423	rewired
dscript	huang	81645	FP	91	rewired
dscript	huang	81645	TN	2059	rewired
dscript	huang	81645	FN	1727	rewired
