Filename,Algorithm,Time [s],Test,Dataset,Encoding,Part_Train,Part_Test,Model
partition_guo_PCA,RF,13.0292484760284,partition,guo,PCA,0,1,RF_PCA_0_1
partition_guo_PCA,SVM,4.59730291366577,partition,guo,PCA,0,1,SVM_PCA_0_1
partition_huang_MDS,RF,6.5236542224884,partition,huang,MDS,both,0,RF_MDS_both_0
partition_huang_MDS,SVM,2.40854787826538,partition,huang,MDS,both,0,SVM_MDS_both_0
partition_huang_MDS,RF,6.52051854133606,partition,huang,MDS,both,1,RF_MDS_both_1
partition_huang_MDS,SVM,1.86059498786926,partition,huang,MDS,both,1,SVM_MDS_both_1
partition_huang_MDS,RF,4.99508380889893,partition,huang,MDS,0,1,RF_MDS_0_1
partition_huang_MDS,SVM,1.22067379951477,partition,huang,MDS,0,1,SVM_MDS_0_1
partition_huang_node2vec,RF,7.64404797554016,partition,huang,node2vec,both,0,RF_node2vec_both_0
partition_huang_node2vec,SVM,2.76609230041504,partition,huang,node2vec,both,0,SVM_node2vec_both_0
partition_huang_node2vec,RF,7.92997574806213,partition,huang,node2vec,both,1,RF_node2vec_both_1
partition_huang_node2vec,SVM,2.5334689617157,partition,huang,node2vec,both,1,SVM_node2vec_both_1
partition_huang_node2vec,RF,5.01885461807251,partition,huang,node2vec,0,1,RF_node2vec_0_1
partition_huang_node2vec,SVM,2.04671621322632,partition,huang,node2vec,0,1,SVM_node2vec_0_1
partition_huang_PCA,RF,6.38448548316956,partition,huang,PCA,both,0,RF_PCA_both_0
partition_huang_PCA,SVM,2.14849281311035,partition,huang,PCA,both,0,SVM_PCA_both_0
partition_huang_PCA,RF,6.46687889099121,partition,huang,PCA,both,1,RF_PCA_both_1
partition_huang_PCA,SVM,1.75773477554321,partition,huang,PCA,both,1,SVM_PCA_both_1
partition_huang_PCA,RF,4.16847729682922,partition,huang,PCA,0,1,RF_PCA_0_1
partition_huang_PCA,SVM,1.16138362884521,partition,huang,PCA,0,1,SVM_PCA_0_1
partition_pan_MDS,RF,91.4896793365479,partition,pan,MDS,both,0,RF_MDS_both_0
partition_pan_MDS,SVM,586.474334478378,partition,pan,MDS,both,0,SVM_MDS_both_0
partition_pan_MDS,RF,91.5702397823334,partition,pan,MDS,both,1,RF_MDS_both_1
partition_pan_MDS,SVM,477.343094825745,partition,pan,MDS,both,1,SVM_MDS_both_1
partition_pan_MDS,RF,112.546743869782,partition,pan,MDS,0,1,RF_MDS_0_1
partition_pan_MDS,SVM,520.482415676117,partition,pan,MDS,0,1,SVM_MDS_0_1
partition_pan_node2vec,RF,86.8676569461823,partition,pan,node2vec,both,0,RF_node2vec_both_0
partition_pan_node2vec,SVM,220.821024656296,partition,pan,node2vec,both,0,SVM_node2vec_both_0
partition_pan_node2vec,RF,87.0769038200379,partition,pan,node2vec,both,1,RF_node2vec_both_1
partition_pan_node2vec,SVM,135.063089370728,partition,pan,node2vec,both,1,SVM_node2vec_both_1
partition_pan_node2vec,RF,99.7081048488617,partition,pan,node2vec,0,1,RF_node2vec_0_1
partition_pan_node2vec,SVM,204.924547195435,partition,pan,node2vec,0,1,SVM_node2vec_0_1
partition_pan_PCA,RF,80.0214478969574,partition,pan,PCA,both,0,RF_PCA_both_0
partition_pan_PCA,SVM,180.291984319687,partition,pan,PCA,both,0,SVM_PCA_both_0
partition_pan_PCA,RF,80.2946770191193,partition,pan,PCA,both,1,RF_PCA_both_1
partition_pan_PCA,SVM,117.820987701416,partition,pan,PCA,both,1,SVM_PCA_both_1
partition_pan_PCA,RF,92.4848341941833,partition,pan,PCA,0,1,RF_PCA_0_1
partition_pan_PCA,SVM,191.188391923904,partition,pan,PCA,0,1,SVM_PCA_0_1
partition_richoux_MDS,RF,164.933101415634,partition,richoux,MDS,both,0,RF_MDS_both_0
partition_richoux_MDS,SVM,992.176133871079,partition,richoux,MDS,both,0,SVM_MDS_both_0
partition_richoux_MDS,RF,161.156730651855,partition,richoux,MDS,both,1,RF_MDS_both_1
partition_richoux_MDS,SVM,842.575470209122,partition,richoux,MDS,both,1,SVM_MDS_both_1
partition_richoux_MDS,RF,123.912103414536,partition,richoux,MDS,0,1,RF_MDS_0_1
partition_richoux_MDS,SVM,615.617928743362,partition,richoux,MDS,0,1,SVM_MDS_0_1
partition_richoux_node2vec,RF,120.398394107819,partition,richoux,node2vec,both,0,RF_node2vec_both_0
partition_richoux_node2vec,SVM,486.640157222748,partition,richoux,node2vec,both,0,SVM_node2vec_both_0
partition_richoux_node2vec,RF,118.713546514511,partition,richoux,node2vec,both,1,RF_node2vec_both_1
partition_richoux_node2vec,SVM,352.681953907013,partition,richoux,node2vec,both,1,SVM_node2vec_both_1
partition_richoux_node2vec,RF,97.2290856838226,partition,richoux,node2vec,0,1,RF_node2vec_0_1
partition_richoux_node2vec,SVM,257.685669183731,partition,richoux,node2vec,0,1,SVM_node2vec_0_1
partition_richoux_PCA,RF,130.10245513916,partition,richoux,PCA,both,0,RF_PCA_both_0
partition_richoux_PCA,SVM,518.763596773148,partition,richoux,PCA,both,0,SVM_PCA_both_0
partition_richoux_PCA,RF,128.293593406677,partition,richoux,PCA,both,1,RF_PCA_both_1
partition_richoux_PCA,SVM,386.678277015686,partition,richoux,PCA,both,1,SVM_PCA_both_1
partition_richoux_PCA,RF,93.0844352245331,partition,richoux,PCA,0,1,RF_PCA_0_1
partition_richoux_PCA,SVM,285.056357622147,partition,richoux,PCA,0,1,SVM_PCA_0_1
